country,unit,window_start,parameter,m,point,lower,upper,within_sd,between_sd,truth,covers,half_width
BOLIVIA,BOLIVIA,2022-11-06,a_temp,72,1.0038986764705884,-1.0811570075437396,3.0889543604849163,0.6647365208472031,0.815585845351789,1.0,True,2.085055684014328
BOLIVIA,BOLIVIA,2022-11-06,a_rain,72,0.3112776911764706,0.1546642012129017,0.46789118114003947,0.050562733299250914,0.06076903206778468,0.3,True,0.15661348996356889
BOLIVIA,CHUQUISACA,2014-11-09,a_temp,72,0.7740181944444444,-0.5623533966135161,2.110389785502405,0.3459470110476338,0.5762142805520867,1.0,True,1.3363715910579606
BOLIVIA,CHUQUISACA,2014-11-09,a_rain,72,-0.104376125,-1.4584456506806611,1.2496934006806613,0.14123566957064862,0.6606851387299536,0.3,True,1.3540695256806612
BOLIVIA,CHUQUISACA,2015-11-08,a_temp,72,0.014990785714285719,-2.3271393639666833,2.3571209353952547,1.194598255089838,0.030236284371688103,1.0,True,2.342130149680969
BOLIVIA,CHUQUISACA,2015-11-08,a_rain,72,0.19379682857142855,-0.7666888492676321,1.1542825064104894,0.44146595974439845,0.2105473886816596,0.3,True,0.9604856778390607
BOLIVIA,CHUQUISACA,2016-11-20,a_temp,72,0.12109505797101451,-2.045717821341198,2.287907937283227,1.0462203630822922,0.3540441607141969,1.0,True,2.1668128793122126
BOLIVIA,CHUQUISACA,2016-11-20,a_rain,72,-1.7986054637681157,-9.205101573159997,5.607890645623765,2.5274819247956355,2.762093699426927,0.3,True,7.406496109391881
BOLIVIA,COCHABAMBA,2014-11-02,a_temp,72,0.6980481764705881,-0.9648081914407682,2.3609045443819445,0.7370919936644911,0.41523490512134525,1.0,True,1.6628563679113564
BOLIVIA,COCHABAMBA,2014-11-02,a_rain,72,-1.0335021999999998,-10.81756049746528,8.750556097465282,2.685150272347006,4.127111807789318,0.3,True,9.78405829746528
BOLIVIA,COCHABAMBA,2017-11-05,a_temp,72,2.814717661764706,-771.1602023084183,776.7896376319477,394.8579973434191,5.17597840974627,1.0,True,773.974919970183
BOLIVIA,COCHABAMBA,2017-11-05,a_rain,72,-17.089944390625,-4779.7348457126955,4745.554956931446,2429.9087977853337,16.474756187422322,0.3,True,4762.644901322071
BOLIVIA,LA PAZ,2019-09-08,a_temp,72,0.9395167169811321,-74855.56239251551,74857.44142594948,38192.794612207275,0.11881662950795188,1.0,True,74856.5019092325
BOLIVIA,LA PAZ,2019-09-08,a_rain,72,0.36035714705882355,0.010803456163764324,0.7099108379538828,0.06813782376669925,0.16111543495328745,0.3,True,0.3495536908950592
BOLIVIA,PANDO,2015-10-04,a_temp,72,1.8020475571428574,-3.7318157887545595,7.335910903040274,2.112644606156136,1.8457466223774872,1.0,True,5.533863345897417
BOLIVIA,PANDO,2015-10-04,a_rain,72,0.5167075142857144,-0.16390903724067651,1.1973240658121052,0.18295418619866088,0.2894024085331274,0.3,True,0.6806165515263909
BOLIVIA,PANDO,2016-08-28,a_temp,72,0.3699631739130434,-1.747603227214372,2.4875295750404587,0.9527762022061209,0.5037846683003259,1.0,True,2.1175664011274153
BOLIVIA,PANDO,2016-08-28,a_rain,72,0.3042605942028985,-0.024784992506769576,0.6333061809125666,0.1209298406410852,0.11464133674707581,0.3,True,0.3290455867096681
BOLIVIA,PANDO,2018-12-02,a_temp,72,0.919728044117647,-4.872922730826579,6.712378819061874,2.837241323722028,0.8204532402109458,1.0,True,5.792650774944226
BOLIVIA,PANDO,2018-12-02,a_rain,72,0.1634413823529412,-0.14279472880352695,0.46967749350940935,0.13861017041248963,0.07131376830996973,0.3,True,0.30623611115646815
BOLIVIA,SANTA CRUZ,2017-12-03,a_temp,72,0.44526426865671637,-4.618279412078739,5.508807949392172,2.517165096247005,0.5768001970602779,1.0,True,5.063543680735456
BOLIVIA,SANTA CRUZ,2017-12-03,a_rain,72,0.40402899999999997,-0.01264926355577839,0.8207072635557784,0.19665393906813797,0.07996339657921521,0.3,True,0.4166782635557784
BOLIVIA,SANTA CRUZ,2020-08-16,a_temp,72,0.49967519047619047,-1.2823931228701742,2.281743503822555,0.5953557323425708,0.6743447831695799,1.0,True,1.7820683133463646
