country,unit,window_start,arm,observation,temp_form,rain_lag,train_frac,structure,aic_climate,aic_constant,delta_aic,climate_wins,weeks,cases
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,5,1.0,hostvector,557.0735,564.5033,-7.4298,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,5,1.0,hostvector,557.0735,564.5033,-7.4298,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,5,1.0,seir,539.8948,547.7049,-7.8101,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,5,1.0,seir,539.8948,547.7049,-7.8101,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,5,0.75,hostvector,378.6765,374.8373,3.8392,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,5,0.75,hostvector,378.6765,374.8373,3.8392,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,5,0.75,seir,363.3272,359.4501,3.8772,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,5,0.75,seir,363.3272,359.4501,3.8772,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,7,1.0,hostvector,546.1362,564.5033,-18.3671,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,7,1.0,hostvector,546.1362,564.5033,-18.3671,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,7,1.0,seir,528.5564,547.7049,-19.1485,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,7,1.0,seir,528.5564,547.7049,-19.1485,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,7,0.75,hostvector,377.4133,374.8373,2.576,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,7,0.75,hostvector,377.4133,374.8373,2.576,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,7,0.75,seir,361.9279,359.4501,2.4779,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,7,0.75,seir,361.9279,359.4501,2.4779,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,3,1.0,hostvector,476.3501,564.5033,-88.1532,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,3,1.0,hostvector,476.3501,564.5033,-88.1532,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,3,1.0,seir,468.1899,547.7049,-79.515,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,3,1.0,seir,468.1899,547.7049,-79.515,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,3,0.75,hostvector,317.675,374.8373,-57.1623,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,3,0.75,hostvector,317.675,374.8373,-57.1623,1,39,1617.0
