country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,climate_wins_margin4
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,seir,central,3.319,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,seir,alt,3.551,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,hostvector_tempmort,central,2.296,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,hostvector_tempmort,alt,0.321,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,hostvector,central,1.104,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,hostvector,alt,-0.492,1,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,seir,central,3.752,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,seir,alt,3.859,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,hostvector_tempmort,central,1.008,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,0.75,hostvector_tempmort,alt,-0.669,1,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,hostvector,central,3.943,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,hostvector,alt,3.46,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,seir,central,2.428,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,seir,alt,2.566,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,hostvector_tempmort,central,3.788,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,1.0,hostvector_tempmort,alt,3.173,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,hostvector,central,3.673,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,hostvector,alt,3.493,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,seir,central,2.56,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,seir,alt,2.613,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,hostvector_tempmort,central,3.141,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,7,0.75,hostvector_tempmort,alt,2.939,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,hostvector,central,3.287,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,hostvector,alt,3.544,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,seir,central,1.954,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,seir,alt,2.184,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,hostvector_tempmort,central,3.172,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,1.0,hostvector_tempmort,alt,3.254,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,hostvector,central,3.18,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,hostvector,alt,3.531,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,seir,central,3.03,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,seir,alt,3.161,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,hostvector_tempmort,central,2.821,0,0
