country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,delta_aic,climate_wins,climate_wins_margin4
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,3,1.0,seir,-2310.591,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,3,0.75,hostvector,-1795.74,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,3,0.75,seir,-1908.825,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,5,1.0,hostvector,-1582.219,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,5,1.0,seir,-945.319,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,5,0.75,hostvector,-1346.366,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,5,0.75,seir,-1077.629,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,7,1.0,hostvector,-1065.282,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,7,1.0,seir,-1113.606,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,7,0.75,hostvector,-939.348,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,7,0.75,seir,-1131.014,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,3,1.0,hostvector,-10.515,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,3,1.0,seir,-22.845,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,3,0.75,hostvector,-10.607,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,3,0.75,seir,-22.888,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,5,1.0,hostvector,-2.857,True,False
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,5,1.0,seir,-17.613,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,5,0.75,hostvector,-1.815,True,False
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,5,0.75,seir,-17.627,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,7,1.0,hostvector,4.003,False,False
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,7,1.0,seir,-13.23,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,7,0.75,hostvector,4.507,False,False
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,briere,7,0.75,seir,-13.112,True,True
ARGENTINA,ARGENTINA,2019-12-22,climate,nb,loglinear,3,1.0,hostvector,-10.637,True,True
