country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,hostvector_tempmort,central,1.0,0.3,0.244089,0.0,0.002861,-0.34418,0.049968,0.332201,0.02135
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.244089,0.0,0.438384,-0.348882,0.076827,0.273476,0.028703
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,hostvector,central,1.0,0.3,0.173513,0.0,0.423166,0.19769,0.065466,0.156276,0.018234
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,8.94188,0.232072,0.411314,0.126885,0.193378
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,seir,central,1.0,0.3,0.173513,3e-06,9.194234,0.179014,0.27515,0.334888,0.538992
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,seir,alt,1.0,0.3,0.173513,0.0,0.089452,0.191458,0.07031,0.418262,0.036821
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,8.181717,0.182916,0.327856,0.162816,0.230075
BARBADOS,BARBADOS,2020-08-23,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,5e-06,9.199773,0.217478,0.417713,0.131679,0.206851
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,hostvector,central,1.0,0.3,0.173513,0.0,8.53058,0.220003,0.360914,0.154867,0.227045
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,8.947848,0.245042,0.413727,0.126334,0.192595
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,seir,central,1.0,0.3,0.173513,0.0,0.409683,0.237115,0.074112,0.326997,0.038262
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,seir,alt,1.0,0.3,0.173513,0.0,10.117382,0.257745,0.351688,0.407514,0.716534
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,7.881597,0.205935,0.335691,0.161306,0.21858
BARBADOS,BARBADOS,2020-08-23,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,1e-06,9.023819,0.231963,0.410652,0.131021,0.201912
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,hostvector,central,1.0,0.3,0.173513,0.0,,0.17878,,0.169234,
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,5.493766,0.201983,0.254296,0.138869,0.142655
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,seir,central,1.0,0.3,0.173513,0.0,0.029757,0.188869,0.078548,0.363424,0.024848
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,seir,alt,1.0,0.3,0.173513,0.0,5.323716,0.218011,0.216716,0.453876,0.453028
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,4.551734,0.166154,0.197349,0.175238,0.149766
BARBADOS,BARBADOS,2020-08-23,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,5.464437,0.190946,0.25359,0.143222,0.146264
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,hostvector,central,1.0,0.3,0.173513,0.0,,0.23959,,0.166203,
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,5.682318,0.260884,0.288541,0.136395,0.143911
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,seir,central,1.0,0.3,0.173513,0.0,3.979918,0.330983,0.21236,0.352637,0.260276
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,seir,alt,1.0,0.3,0.173513,0.0,5.650259,0.388027,0.313598,0.439164,0.458802
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,4.463234,0.226791,0.226374,0.172175,0.142653
BARBADOS,BARBADOS,2020-08-23,nb,5,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,5.523786,0.249757,0.283664,0.140737,0.144165
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,hostvector,central,1.0,0.3,0.173513,0.0,0.778018,0.186088,0.087024,0.183654,0.033232
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,0.384903,0.197798,0.077864,0.151657,0.012891
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,seir,central,1.0,0.3,0.173513,0.0,2.59313,0.252569,0.171417,0.404067,0.215523
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,seir,alt,1.0,0.3,0.173513,0.0,0.030658,0.327405,0.127983,0.511174,0.031368
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,0.033722,0.174721,0.069009,0.189087,0.010194
BARBADOS,BARBADOS,2020-08-23,nb,7,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,0.008525,0.189158,0.075216,0.155629,0.008112
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,hostvector,central,1.0,0.3,0.173513,0.0,3.207073,0.285668,0.196701,0.18317,0.120205
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,3.811796,0.297937,0.241143,0.151084,0.117263
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,seir,central,1.0,0.3,0.173513,0.0,0.001493,0.524826,0.096721,0.411916,0.020072
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,seir,alt,1.0,0.3,0.173513,0.0,13.797015,-0.705854,0.491973,0.352199,0.786275
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,0.441496,0.27349,0.079439,0.188754,0.017812
