specification,share_endorsing_climate,observation,temp_form,rain_lag,train_frac,structure,params
nb|briere|5|1.0|seir|central,0.5747,nb,briere,5,1.0,seir,central
nb|loglinear|3|0.75|hostvector|alt,0.5701,nb,loglinear,3,0.75,hostvector,alt
nb|loglinear|3|0.75|hostvector_tempmort|alt,0.5701,nb,loglinear,3,0.75,hostvector_tempmort,alt
nb|loglinear|7|0.75|seir|alt,0.5701,nb,loglinear,7,0.75,seir,alt
nb|loglinear|3|0.75|hostvector|central,0.5701,nb,loglinear,3,0.75,hostvector,central
nb|loglinear|3|0.75|hostvector_tempmort|central,0.5656,nb,loglinear,3,0.75,hostvector_tempmort,central
nb|briere|7|1.0|seir|alt,0.5611,nb,briere,7,1.0,seir,alt
nb|loglinear|7|0.75|seir|central,0.5566,nb,loglinear,7,0.75,seir,central
nb|briere|7|1.0|seir|central,0.5566,nb,briere,7,1.0,seir,central
nb|loglinear|3|0.75|seir|central,0.5249,nb,loglinear,3,0.75,seir,central
nb|loglinear|5|0.75|seir|central,0.5204,nb,loglinear,5,0.75,seir,central
nb|loglinear|5|0.75|seir|alt,0.5204,nb,loglinear,5,0.75,seir,alt
nb|loglinear|3|0.75|seir|alt,0.5158,nb,loglinear,3,0.75,seir,alt
nb|briere|3|0.75|hostvector_tempmort|alt,0.4887,nb,briere,3,0.75,hostvector_tempmort,alt
nb|briere|7|0.75|hostvector_tempmort|alt,0.4887,nb,briere,7,0.75,hostvector_tempmort,alt
nb|briere|7|0.75|hostvector_tempmort|central,0.4887,nb,briere,7,0.75,hostvector_tempmort,central
nb|briere|3|0.75|hostvector_tempmort|central,0.4887,nb,briere,3,0.75,hostvector_tempmort,central
nb|briere|7|0.75|hostvector|alt,0.4751,nb,briere,7,0.75,hostvector,alt
nb|briere|7|0.75|hostvector|central,0.4751,nb,briere,7,0.75,hostvector,central
nb|briere|3|0.75|hostvector|central,0.4706,nb,briere,3,0.75,hostvector,central
nb|briere|5|0.75|hostvector_tempmort|central,0.4706,nb,briere,5,0.75,hostvector_tempmort,central
nb|briere|5|0.75|hostvector_tempmort|alt,0.4706,nb,briere,5,0.75,hostvector_tempmort,alt
nb|briere|3|0.75|hostvector|alt,0.4661,nb,briere,3,0.75,hostvector,alt
nb|briere|5|0.75|hostvector|central,0.4525,nb,briere,5,0.75,hostvector,central
nb|briere|5|0.75|hostvector|alt,0.4525,nb,briere,5,0.75,hostvector,alt
nb|briere|7|0.75|seir|central,0.4344,nb,briere,7,0.75,seir,central
nb|briere|7|0.75|seir|alt,0.4299,nb,briere,7,0.75,seir,alt
nb|briere|5|0.75|seir|alt,0.4299,nb,briere,5,0.75,seir,alt
nb|briere|5|0.75|seir|central,0.4163,nb,briere,5,0.75,seir,central
nb|briere|3|0.75|seir|alt,0.4118,nb,briere,3,0.75,seir,alt
nb|briere|3|0.75|seir|central,0.3982,nb,briere,3,0.75,seir,central
