country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,hostvector,central,1.0,0.3,0.987326,,0.015782,
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,hostvector,alt,1.0,0.3,1.011527,53951.887907,0.017488,0.145013
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,seir,central,1.0,0.3,0.761342,,-0.52596,
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,seir,alt,1.0,0.3,0.91881,92636.758035,0.011962,0.093963
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,hostvector_tempmort,central,1.0,0.3,0.931755,21541.915651,0.006762,0.068199
BOLIVIA,LA PAZ,2020-09-13,poisson,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.946745,14959.886622,0.005794,0.060996
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,hostvector,central,1.0,0.3,0.198471,0.32247,0.443053,0.143536
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,hostvector,alt,1.0,0.3,0.502382,0.41415,0.535189,0.153298
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,seir,central,1.0,0.3,0.0,0.11248,0.295098,0.153277
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,seir,alt,1.0,0.3,0.0,,0.280249,
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.147478,0.300498,0.430161,0.139094
BOLIVIA,BOLIVIA,2019-11-10,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.430748,0.390197,0.526444,0.149939
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,hostvector,central,1.0,0.3,0.0,0.000332,0.456861,0.114921
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,hostvector,alt,1.0,0.3,0.041054,0.998611,0.514064,0.138851
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,seir,central,1.0,0.3,0.0,0.001064,0.34119,0.133841
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,seir,alt,1.0,0.3,0.0,0.000556,0.305317,0.136647
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,2e-06,0.828578,0.451068,0.123376
BOLIVIA,BOLIVIA,2019-11-10,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.083681,0.983791,0.513582,0.137715
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,hostvector,central,1.0,0.3,0.44448,0.46065,-0.037376,0.095252
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,hostvector,alt,1.0,0.3,0.580395,0.601389,-0.041969,0.107483
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,seir,central,1.0,0.3,0.482937,0.441206,-0.10705,0.095286
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,seir,alt,1.0,0.3,0.518336,0.464343,-0.112852,0.092351
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,0.411527,0.432044,-0.037741,0.090789
BOLIVIA,BOLIVIA,2019-11-10,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.548116,0.569932,-0.042535,0.103051
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,hostvector,central,1.0,0.3,0.0,1.220377,0.002882,0.08248
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,hostvector,alt,1.0,0.3,2e-06,1.408942,0.002904,0.094123
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,seir,central,1.0,0.3,0.0,0.343266,-0.048288,0.072174
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,seir,alt,1.0,0.3,0.0,0.003689,-0.053627,0.071794
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,hostvector_tempmort,central,1.0,0.3,0.0,0.057516,0.001149,0.07015
BOLIVIA,BOLIVIA,2019-11-10,nb,5,0.75,hostvector_tempmort,alt,1.0,0.3,0.000208,1.393869,0.000301,0.092262
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,hostvector,central,1.0,0.3,1.207022,0.438473,-0.184375,0.054851
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,hostvector,alt,1.0,0.3,1.615088,0.574942,-0.212756,0.06173
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,seir,central,1.0,0.3,1.146311,0.404271,-0.213019,0.056801
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,seir,alt,1.0,0.3,1.245314,0.445685,-0.214256,0.057053
