country,unit,window_start,location,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,weeks,cases
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,seir,central,-317.886,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,seir,alt,-329.647,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,hostvector_tempmort,central,-303.176,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,hostvector_tempmort,alt,-280.141,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,hostvector,central,-343.267,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,hostvector,alt,-348.731,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,seir,central,-368.658,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,seir,alt,-384.714,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,hostvector_tempmort,central,-370.759,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,0.75,hostvector_tempmort,alt,-372.884,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,hostvector,central,-372.98,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,hostvector,alt,-351.057,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,seir,central,-383.888,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,seir,alt,-375.259,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,hostvector_tempmort,central,-392.738,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,1.0,hostvector_tempmort,alt,-367.561,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,hostvector,central,-359.185,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,hostvector,alt,-357.642,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,seir,central,-357.608,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,seir,alt,-345.155,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,hostvector_tempmort,central,-383.532,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,7,0.75,hostvector_tempmort,alt,-378.573,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,3,1.0,seir,central,-403.532,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,3,1.0,seir,alt,-399.052,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,3,0.75,seir,central,-388.481,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,3,0.75,seir,alt,-363.133,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,5,1.0,seir,central,-276.636,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,5,1.0,seir,alt,-286.893,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,5,0.75,seir,central,-387.549,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,5,0.75,seir,alt,-412.346,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,7,1.0,seir,central,-353.34,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,7,1.0,seir,alt,-343.783,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,7,0.75,seir,central,-355.133,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,loglinear,7,0.75,seir,alt,-342.427,1,27,3046.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,hostvector,central,-10.958,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,hostvector,alt,-11.411,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,seir,central,-7.57,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,seir,alt,-8.034,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,hostvector_tempmort,central,-10.912,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,1.0,hostvector_tempmort,alt,-11.291,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,hostvector,central,-17.748,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,hostvector,alt,-19.024,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,seir,central,-13.13,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,seir,alt,-13.86,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,hostvector_tempmort,central,-17.526,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,3,0.75,hostvector_tempmort,alt,-18.879,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,hostvector,central,-7.505,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,hostvector,alt,-9.352,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,seir,central,-1.907,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,seir,alt,-1.089,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,hostvector_tempmort,central,-7.413,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,1.0,hostvector_tempmort,alt,-9.102,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,hostvector,central,-11.63,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,hostvector,alt,-12.816,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,seir,central,-6.114,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,seir,alt,-4.98,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,hostvector_tempmort,central,-11.146,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,5,0.75,hostvector_tempmort,alt,-12.351,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,hostvector,central,2.932,0,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,hostvector,alt,3.124,0,31,2288.0
